"method","budget_fraction","regret_mean","regret_se","n_replicates"
"CA-AB-GP",0.752,0.0912978739121328,0.00467283625182646,1000
"CA-AB-GP",0.7768,0.0892512175233788,0.00489902922377021,1000
"CA-AB-GP",0.8016,0.0858066081091739,0.00445708480147244,1000
"CA-AB-GP",0.8264,0.081709655615238,0.00415082950586092,1000
"CA-AB-GP",0.8512,0.0829295182091083,0.00398140519419855,1000
"CA-AB-GP",0.876,0.0840341655462051,0.00403768958087606,1000
"CA-AB-GP",0.9008,0.0819331308698611,0.00405763625554663,1000
"CA-AB-GP",0.9256,0.0787856064579768,0.00391206191129721,1000
"CA-AB-GP",0.9504,0.0786994182673628,0.00402004859780952,1000
"CA-AB-GP",0.9752,0.0758053818334368,0.00358972412578606,1000
"CA-AB-GP",1,0.0772259696682837,0.00369114620595982,1000
