"method","n","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","n_replicates"
"CA-AB-GP",32,0.101220280653068,0.00472173056819044,0.9235,0.00639833483718137,1.01782171515068,0.0067604565262112,0.310840430326404,0.00459376965796284,0.214583625685311,0.00536233110729982,5.857,0.0297899049753174,119.855,0.446848574629761,1000
"CA-AB-GP",34,0.111837088492309,0.00490652701224586,0.8925,0.00746655874546631,1.01176612700245,0.00736598085322806,0.301536706034802,0.00436093403189823,0.207117960701575,0.00504813132737664,6.202,0.0320347034046239,127.03,0.480520551069359,1000
"CA-AB-GP",36,0.120960287799106,0.0054967406993478,0.878,0.0077895235205163,1.00870882570592,0.00807050440616196,0.299181019416315,0.00480827892636142,0.207556621534544,0.00546239341288992,6.547,0.0325707207757497,134.205,0.488560811636245,1000
"CA-AB-GP",38,0.119315327564122,0.00525502918327087,0.875,0.00780614731707876,1.00055039824991,0.00791967782037645,0.285042356535906,0.00437524202251875,0.194307989304363,0.00502512876361613,6.885,0.0332096052050891,141.275,0.498144078076336,1000
"CA-AB-GP",40,0.129058685688492,0.00556966544891151,0.853,0.00845354733011311,1.00168102610057,0.00815541792995833,0.283758625135264,0.0043080257843728,0.196079295078706,0.00494834276392562,7.185,0.0331039404130516,147.775,0.496559106195774,1000
"CA-AB-GP",42,0.132181319658208,0.00576585002958443,0.85,0.00845999831983267,1.00080013388614,0.00817849152555832,0.278128044164072,0.00441070824689404,0.192539069003913,0.00506421374707608,7.434,0.0328134228741947,153.51,0.49220134311292,1000
"CA-AB-GP",44,0.140719266073562,0.00604525354673166,0.8325,0.00887538858431125,0.997946728518115,0.00884883919591243,0.276966911608213,0.00452396315959775,0.193509306557209,0.00515429381656738,7.656,0.0335080107852852,158.84,0.502620161779277,1000
"CA-AB-GP",46,0.147521677284038,0.00627531213388236,0.819,0.00907310979330248,0.996164527413624,0.00933328821746487,0.275387627871018,0.00453809534286498,0.194172492011212,0.00514743918422087,7.861,0.0343927588579611,163.915,0.515891382869417,1000
"CA-AB-GP",48,0.144216894267803,0.00612394338017368,0.819,0.00901777801458432,0.984556352489303,0.00921119839115218,0.267607001066621,0.00443730711341236,0.187573187066572,0.00504736206916246,8.038,0.0346952411687793,168.57,0.52042861753169,1000
"CA-AB-GP",50,0.144294817948025,0.0062056737395534,0.8305,0.00860777810145242,0.983002197605824,0.00892248830173156,0.264305681686715,0.00454870314868663,0.186241432155543,0.00514777167040116,8.205,0.0364733506180239,173.075,0.547100259270359,1000
"CA-AB-GP",52,0.139238898403765,0.00600023383813726,0.8315,0.00853994617551426,0.977536634360444,0.00870735724788509,0.257392907765709,0.0043427022849483,0.180756335223181,0.00490000530053752,8.357,0.0376426349764196,177.355,0.564639524646294,1000
"CA-AB-GP",54,0.139115102235278,0.00613454799217955,0.8285,0.00865521014549402,0.972651358639895,0.00919756860400537,0.256360537216578,0.00452449002836734,0.181383185884378,0.00505478621137643,8.528,0.0393289049270732,181.92,0.589933573906098,1000
"CA-AB-GP",56,0.144715916192949,0.00664700725238681,0.8325,0.0084121646747145,0.980082485130655,0.00971223772608767,0.258304016702595,0.0050170759951738,0.185380983395307,0.00555433276512414,8.701,0.0412468216993782,186.515,0.618702325490674,1000
"CA-AB-GP",58,0.146241175051942,0.00678658280156487,0.8375,0.00833145624504883,0.980448019367857,0.0098072086990491,0.25433608458406,0.0047814919110896,0.182766305286501,0.00533609203961374,8.863,0.0434755232414875,190.945,0.652132848622313,1000
"CA-AB-GP",60,0.141055184729079,0.00644238737679363,0.84,0.0082745675698775,0.973815554209255,0.009412005071873,0.246565209925698,0.0045489959089483,0.176327718089462,0.00507216132600977,9.013,0.0453970471715055,195.195,0.680955707572582,1000
"CA-AB-GP",62,0.133817041491882,0.00614552672947821,0.844,0.00801425157006119,0.960439063756311,0.00913607582171563,0.236975812817229,0.00418943466368643,0.167832237367213,0.00470113348958773,9.18,0.0482900810926212,199.7,0.724351216389318,1000
"CA-AB-GP",64,0.133429592743687,0.00616761987311539,0.8475,0.00809687034040371,0.963249961955696,0.00933502487057466,0.236411087201374,0.00433242026815241,0.167687757622023,0.00482522018384522,9.34,0.0509214394238124,204.1,0.763821591357186,1000
"CA-AB-GP",66,0.135595988197044,0.00624135699012352,0.842,0.00822214105957832,0.958577027827709,0.00960663293121955,0.235399268989522,0.00450343691770692,0.167315109384709,0.00497268800214575,9.493,0.0536547279354749,208.395,0.804820919032123,1000
"CA-AB-GP",68,0.128912741498064,0.00599464995288015,0.8515,0.00785872187505764,0.94819203956307,0.00924442325319519,0.230676364275574,0.00429057376145441,0.163923979333,0.00473818268996052,9.632,0.0563715686650084,212.48,0.845573529975126,1000
"CA-AB-GP",70,0.131275738349665,0.00604744222242321,0.852,0.00782030416014346,0.949924821185759,0.00913571203366675,0.230354886254559,0.00429990463216215,0.164297629229852,0.00473764812557293,9.765,0.0592392123874405,216.475,0.888588185811607,1000
"CA-AB-GP",72,0.1296368079821,0.00606703974674164,0.855,0.0078125563061034,0.953027251351225,0.00928769920334693,0.223683542168199,0.00416924860061879,0.158009969858525,0.00462620115325335,9.932,0.061961401010752,220.98,0.92942101516128,1000
"CA-AB-GP",74,0.123069916295991,0.00596739262669733,0.8695,0.00760115303934393,0.952759411877812,0.00922042150328563,0.218839860374053,0.00413608270000038,0.154114672166621,0.00458425053160511,10.083,0.065194795508241,225.245,0.977921932623615,1000
"CA-AB-GP",76,0.121962926455726,0.0058419590144142,0.872,0.00752812544214512,0.952109130337939,0.00899209613718567,0.215965556060916,0.00410473630216319,0.151764803393642,0.00454330323376151,10.225,0.0676827596656339,229.375,1.01524139498451,1000
"CA-AB-GP",78,0.122889533604484,0.00594117267945586,0.8695,0.00753502000836936,0.947552305096625,0.00932396879217064,0.214454904528884,0.00413432891174164,0.150359342011139,0.00458062442938091,10.351,0.0698188633083759,233.265,1.04728294962564,1000
