"method","n","unique_doses_mean","unique_doses_se","n_replicates"
"CA-AB-GP",56,10.4324693042292,0.0586221855583173,733
"CA-AB-GP",58,10.2753378378378,0.0530358361547511,592
"CA-AB-GP",60,10.4603481624758,0.0575137607106791,517
"CA-AB-GP",62,10.5633802816901,0.0606868871616762,426
"CA-AB-GP",64,10.4189602446483,0.0540651924238725,327
"CA-AB-GP",66,10.5103448275862,0.0540087277586779,290
"CA-AB-GP",68,10.6434108527132,0.0550846862780164,258
"CA-AB-GP",70,10.3802083333333,0.0487755816406464,192
"CA-AB-GP",72,10.3764705882353,0.0520735651794237,170
"CA-AB-GP",74,10.4,0.0548421629337232,145
"CA-AB-GP",76,10.2830188679245,0.06394449100683,106
"CA-AB-GP",78,9.82758620689655,0.0500328448351732,58
"CA-AB-GP",80,9.82692307692308,0.052974522506643,52
"CA-AB-GP",82,9.76666666666667,0.0785403232453173,30
"CA-AB-GP",84,9,0,5
"CA-AB-GP",86,9,0,4
"CA-AB-GP",88,9,0,3
"IND-GP",22,5.995,0.00223158687484489,1000
"IND-GP",24,6.856,0.0111079875489392,1000
"IND-GP",26,7.61,0.0171520900823834,1000
"IND-GP",28,8.249,0.0223046294857479,1000
"IND-GP",30,8.866,0.0270698499585198,1000
"IND-GP",32,9.41983967935872,0.0311759690778349,998
"IND-GP",34,9.8693009118541,0.0339870234924213,987
"IND-GP",36,10.2110762800418,0.0357205363282978,957
"IND-GP",38,10.4695550351288,0.0383024158248175,854
"IND-GP",40,10.6797829036635,0.0404705078915202,737
"IND-GP",42,10.780260707635,0.0470092345148919,537
"IND-GP",44,10.8575,0.0542017430288771,400
"IND-GP",46,10.9746835443038,0.0689424331914781,237
"IND-GP",48,10.85,0.0951557767491785,120
"IND-GP",50,10.8965517241379,0.129426243684943,58
"IND-GP",52,10.4090909090909,0.16978584561938,22
"IND-GP",54,10.3333333333333,0.333333333333333,6
"IND-GP",56,9.5,0.5,2
"IND-GP",58,10,NA,1
"P-GP",22,5.976,0.00484225644172708,1000
"P-GP",24,6.803,0.013204747834221,1000
"P-GP",26,7.45,0.0229352572696716,1000
"P-GP",28,7.893,0.0307000568972354,1000
"P-GP",30,8.267,0.0349990847871189,1000
"P-GP",32,8.584,0.0376079560513245,1000
"P-GP",34,8.89189189189189,0.0398130177620527,999
"P-GP",36,9.20281124497992,0.0415273199577563,996
"P-GP",38,9.5247225025227,0.0432494595521147,991
"P-GP",40,9.79877425944842,0.0450521677031794,979
"P-GP",42,10.0117395944504,0.0466531051379008,937
"P-GP",44,10.211986681465,0.0469111315727268,901
"P-GP",46,10.3530864197531,0.0487762822086773,810
"P-GP",48,10.3977746870654,0.0496038763590262,719
"P-GP",50,10.3246977547496,0.0522874062326579,579
"P-GP",52,10.2777777777778,0.0542780327352687,468
"P-GP",54,10.2925373134328,0.0620883147473564,335
"P-GP",56,10.3870967741935,0.0752596732065507,217
"P-GP",58,10.2538461538462,0.0889289200870669,130
"P-GP",60,10.2183908045977,0.101347889184533,87
"P-GP",62,10.140350877193,0.128707174037189,57
"P-GP",64,10.2222222222222,0.138129235668458,45
"P-GP",66,10.5483870967742,0.159560617647738,31
"P-GP",68,10.5416666666667,0.120071938984098,24
"P-GP",70,10.5555555555556,0.120516921010365,18
"P-GP",72,10.5,0.129099444873581,16
"P-GP",74,10.5,0.150755672288882,12
"P-GP",76,10.5,0.223606797749979,6
"P-GP",78,10,0,3
"P-GP",80,10,0,2
"P-GP",82,10,NA,1
"S-GP",22,5.998,0.00141350557055782,1000
"S-GP",24,6.953,0.00669595667816301,1000
"S-GP",26,7.579,0.0178347155031157,1000
"S-GP",28,7.895,0.0253103855287828,1000
"S-GP",30,8.194,0.0295505877646662,1000
"S-GP",32,8.49,0.0312229863221774,1000
